video_id,class,label
137943,Pushing Two Fingers Away,4
7802,Swiping Up,16
79392,Sliding Two Fingers Up,11
105758,Shaking Hand,7
56998,Stop Sign,12
22183,Sliding Two Fingers Up,11
20714,Pulling Two Fingers In,2
110088,Turning Hand Clockwise,19
56402,Zooming In With Full Hand,21
31203,Pulling Hand In,1
82063,Zooming In With Full Hand,21
144759,Stop Sign,12
40999,Pushing Two Fingers Away,4
135648,Stop Sign,12
80364,Pulling Two Fingers In,2
124001,Zooming In With Two Fingers,22
65127,Sliding Two Fingers Up,11
8569,Thumb Up,18
123284,Swiping Up,16
69143,Rolling Hand Backward,5
129786,Thumb Up,18
140059,Thumb Down,17
118985,Sliding Two Fingers Right,10
107437,Pushing Hand Away,3
103668,Pulling Two Fingers In,2
7593,Swiping Right,15
89479,Swiping Up,16
92015,Swiping Left,14
91526,Rolling Hand Backward,5
86326,Sliding Two Fingers Down,8
101079,Rolling Hand Forward,6
85116,Pulling Hand In,1
29174,Pulling Hand In,1
101977,Zooming In With Two Fingers,22
138563,Turning Hand Counterclockwise,20
101993,Pulling Hand In,1
113301,Drumming Fingers,0
125276,Zooming In With Full Hand,21
118226,Pushing Hand Away,3
12571,Zooming In With Full Hand,21
8621,Sliding Two Fingers Up,11
120706,Turning Hand Clockwise,19
66438,Turning Hand Counterclockwise,20
126292,Thumb Up,18
121022,Shaking Hand,7
116149,Thumb Up,18
55484,Zooming Out With Two Fingers,24
29477,Pulling Two Fingers In,2
108530,Sliding Two Fingers Up,11
47703,Stop Sign,12
140672,Swiping Right,15
83445,Sliding Two Fingers Down,8
38791,Swiping Left,14
68907,Swiping Down,13
21586,Turning Hand Counterclockwise,20
15886,Swiping Down,13
86582,Rolling Hand Backward,5
79782,Swiping Down,13
142929,Thumb Up,18
120580,Zooming In With Two Fingers,22
71861,Zooming Out With Full Hand,23
27793,Pulling Hand In,1
122443,Rolling Hand Forward,6
9975,Turning Hand Clockwise,19
2038,Sliding Two Fingers Down,8
69802,Drumming Fingers,0
111185,Swiping Right,15
73820,Sliding Two Fingers Up,11
40405,Swiping Right,15
63033,Rolling Hand Backward,5
7956,Sliding Two Fingers Right,10
2641,Shaking Hand,7
119132,Pulling Hand In,1
93221,Turning Hand Clockwise,19
125569,Sliding Two Fingers Left,9
97141,Thumb Down,17
88274,Sliding Two Fingers Right,10
83594,Pulling Hand In,1
89054,Swiping Up,16
5452,Zooming Out With Two Fingers,24
134062,Zooming In With Full Hand,21
81018,Drumming Fingers,0
616,Thumb Up,18
107714,Zooming Out With Two Fingers,24
103403,Swiping Left,14
79397,Zooming Out With Full Hand,23
60712,Thumb Up,18
26920,Zooming In With Full Hand,21
132328,Zooming Out With Two Fingers,24
31654,Zooming Out With Full Hand,23
86043,Sliding Two Fingers Down,8
110909,Pushing Two Fingers Away,4
45397,Swiping Up,16
13134,Zooming Out With Full Hand,23
52495,Stop Sign,12
68187,Shaking Hand,7
77032,Pulling Two Fingers In,2
17794,Zooming In With Two Fingers,22
144416,Zooming In With Full Hand,21
30712,Sliding Two Fingers Right,10
33743,Swiping Left,14
125737,Sliding Two Fingers Down,8
32973,Swiping Down,13
56681,Sliding Two Fingers Left,9
53837,Swiping Up,16
652,Thumb Up,18
113681,Zooming In With Two Fingers,22
21889,Swiping Right,15
7397,Zooming In With Two Fingers,22
98508,Turning Hand Counterclockwise,20
122701,Zooming In With Full Hand,21
127807,Pulling Hand In,1
18379,Thumb Down,17
132555,Zooming Out With Two Fingers,24
84970,Sliding Two Fingers Right,10
35695,Sliding Two Fingers Right,10
4270,Pulling Two Fingers In,2
97608,Swiping Up,16
40848,Zooming Out With Full Hand,23
8186,Drumming Fingers,0
63684,Zooming In With Full Hand,21
111163,Sliding Two Fingers Up,11
56890,Turning Hand Clockwise,19
66477,Thumb Up,18
13414,Rolling Hand Backward,5
49649,Drumming Fingers,0
75375,Swiping Right,15
35334,Stop Sign,12
136838,Swiping Left,14
119041,Stop Sign,12
98751,Swiping Down,13
111346,Stop Sign,12
92830,Zooming Out With Two Fingers,24
91816,Pulling Hand In,1
147661,Swiping Right,15
135191,Turning Hand Clockwise,19
132455,Shaking Hand,7
55909,Swiping Right,15
65937,Pushing Two Fingers Away,4
69063,Swiping Down,13
43076,Swiping Right,15
86168,Thumb Up,18
78145,Stop Sign,12
112103,Zooming In With Two Fingers,22
121010,Sliding Two Fingers Up,11
18128,Pushing Hand Away,3
57084,Zooming In With Two Fingers,22
30242,Pulling Two Fingers In,2
60013,Rolling Hand Forward,6
111048,Turning Hand Counterclockwise,20
115605,Rolling Hand Forward,6
100267,Swiping Left,14
101571,Drumming Fingers,0
80993,Zooming Out With Two Fingers,24
51063,Sliding Two Fingers Up,11
46978,Swiping Right,15
48444,Sliding Two Fingers Down,8
136611,Thumb Down,17
136779,Pushing Two Fingers Away,4
4580,Swiping Right,15
34853,Turning Hand Counterclockwise,20
28498,Drumming Fingers,0
18636,Pushing Two Fingers Away,4
1909,Zooming In With Two Fingers,22
71056,Sliding Two Fingers Up,11
134858,Stop Sign,12
126560,Stop Sign,12
18770,Rolling Hand Backward,5
94365,Swiping Left,14
74437,Swiping Down,13
82300,Sliding Two Fingers Up,11
110847,Swiping Up,16
27309,Zooming In With Full Hand,21
88566,Sliding Two Fingers Down,8
66757,Turning Hand Clockwise,19
9980,Stop Sign,12
66884,Swiping Up,16
89088,Drumming Fingers,0
71879,Thumb Down,17
117705,Rolling Hand Backward,5
34111,Sliding Two Fingers Left,9
27628,Swiping Left,14
83297,Zooming In With Full Hand,21
93010,Swiping Down,13
144804,Pulling Two Fingers In,2
49307,Shaking Hand,7
114813,Zooming Out With Two Fingers,24
32164,Sliding Two Fingers Left,9
97996,Turning Hand Counterclockwise,20
71481,Zooming In With Full Hand,21
69413,Sliding Two Fingers Right,10
31876,Pushing Hand Away,3
9962,Pulling Two Fingers In,2
1603,Turning Hand Counterclockwise,20
41097,Pulling Two Fingers In,2
87755,Zooming Out With Two Fingers,24
123855,Zooming In With Full Hand,21
59739,Shaking Hand,7
10550,Zooming In With Full Hand,21
77340,Pulling Hand In,1
111701,Turning Hand Clockwise,19
34257,Stop Sign,12
40033,Sliding Two Fingers Up,11
41107,Drumming Fingers,0
56626,Sliding Two Fingers Right,10
50220,Swiping Left,14
125020,Pushing Hand Away,3
4734,Thumb Down,17
132112,Swiping Up,16
4144,Rolling Hand Forward,6
34130,Sliding Two Fingers Up,11
80387,Pushing Two Fingers Away,4
21387,Thumb Down,17
28037,Sliding Two Fingers Up,11
70323,Rolling Hand Forward,6
20326,Thumb Down,17
80919,Pushing Two Fingers Away,4
19634,Sliding Two Fingers Up,11
32234,Zooming In With Two Fingers,22
78897,Sliding Two Fingers Left,9
122726,Zooming Out With Full Hand,23
28538,Swiping Right,15
122208,Pushing Hand Away,3
13269,Turning Hand Counterclockwise,20
40536,Rolling Hand Backward,5
29941,Pulling Hand In,1
51015,Sliding Two Fingers Right,10
49055,Zooming In With Full Hand,21
32047,Drumming Fingers,0
9887,Pulling Two Fingers In,2
32422,Rolling Hand Forward,6
75315,Zooming Out With Two Fingers,24
52322,Thumb Up,18
130708,Thumb Up,18
74456,Zooming Out With Full Hand,23
137984,Thumb Down,17
55262,Sliding Two Fingers Left,9
101142,Sliding Two Fingers Right,10
890,Thumb Up,18
30878,Shaking Hand,7
109171,Pushing Hand Away,3
63031,Zooming In With Two Fingers,22
171,Zooming In With Full Hand,21
118034,Sliding Two Fingers Down,8
17242,Zooming In With Full Hand,21
127075,Pushing Two Fingers Away,4
60606,Turning Hand Counterclockwise,20
90972,Turning Hand Clockwise,19
91088,Turning Hand Counterclockwise,20
111689,Thumb Up,18
88543,Shaking Hand,7
28455,Swiping Up,16
58380,Thumb Up,18
124294,Drumming Fingers,0
94323,Rolling Hand Forward,6
53781,Sliding Two Fingers Down,8
121239,Stop Sign,12
120927,Sliding Two Fingers Left,9
72140,Thumb Down,17
57352,Sliding Two Fingers Down,8
120203,Zooming In With Two Fingers,22
44072,Drumming Fingers,0
69612,Stop Sign,12
15637,Sliding Two Fingers Right,10
53885,Zooming Out With Two Fingers,24
10629,Shaking Hand,7
7190,Pushing Two Fingers Away,4
60544,Swiping Down,13
10496,Pulling Two Fingers In,2
134499,Sliding Two Fingers Right,10
11331,Zooming In With Two Fingers,22
117722,Pulling Hand In,1
3515,Swiping Left,14
80848,Zooming Out With Two Fingers,24
25007,Thumb Up,18
135561,Pushing Hand Away,3
113067,Swiping Right,15
1178,Zooming Out With Full Hand,23
2284,Turning Hand Counterclockwise,20
108538,Turning Hand Clockwise,19
122932,Rolling Hand Backward,5
88448,Stop Sign,12
72747,Thumb Up,18
81754,Swiping Down,13
86558,Drumming Fingers,0
138807,Swiping Up,16
101215,Pulling Hand In,1
41599,Zooming Out With Two Fingers,24
103971,Zooming In With Two Fingers,22
19565,Pulling Two Fingers In,2
136422,Zooming Out With Full Hand,23
132102,Zooming Out With Full Hand,23
113502,Swiping Up,16
5149,Thumb Down,17
61754,Rolling Hand Forward,6
11829,Zooming Out With Full Hand,23
111644,Sliding Two Fingers Up,11
129452,Swiping Up,16
16172,Stop Sign,12
17264,Thumb Up,18
97558,Swiping Up,16
60757,Swiping Down,13
80860,Thumb Up,18
113347,Zooming In With Two Fingers,22
89342,Thumb Up,18
110172,Zooming In With Full Hand,21
85769,Rolling Hand Forward,6
34603,Zooming Out With Two Fingers,24
106613,Stop Sign,12
146375,Pushing Two Fingers Away,4
75861,Pushing Hand Away,3
112499,Thumb Up,18
121374,Stop Sign,12
46094,Sliding Two Fingers Right,10
113837,Swiping Down,13
32321,Thumb Down,17
63799,Pulling Hand In,1
61604,Zooming Out With Two Fingers,24
1625,Zooming Out With Full Hand,23
104201,Stop Sign,12
8864,Stop Sign,12
89023,Thumb Up,18
12417,Swiping Up,16
5495,Turning Hand Counterclockwise,20
79828,Turning Hand Clockwise,19
36514,Zooming In With Two Fingers,22
51462,Zooming Out With Full Hand,23
13721,Pulling Two Fingers In,2
20948,Zooming Out With Full Hand,23
108031,Drumming Fingers,0
111520,Swiping Left,14
147293,Pushing Hand Away,3
109289,Sliding Two Fingers Down,8
104587,Turning Hand Clockwise,19
100386,Swiping Left,14
117328,Zooming In With Two Fingers,22
100965,Pulling Hand In,1
86118,Zooming Out With Two Fingers,24
27695,Zooming In With Two Fingers,22
46106,Turning Hand Counterclockwise,20
64717,Rolling Hand Forward,6
41406,Sliding Two Fingers Down,8
143545,Rolling Hand Forward,6
69689,Sliding Two Fingers Right,10
115682,Stop Sign,12
80101,Swiping Right,15
101366,Turning Hand Counterclockwise,20
117612,Sliding Two Fingers Down,8
70604,Turning Hand Counterclockwise,20
124415,Zooming Out With Two Fingers,24
66614,Sliding Two Fingers Left,9
17049,Drumming Fingers,0
147356,Rolling Hand Backward,5
130323,Shaking Hand,7
78413,Pushing Hand Away,3
71714,Thumb Down,17
107114,Sliding Two Fingers Right,10
41380,Sliding Two Fingers Right,10
112158,Zooming Out With Two Fingers,24
15604,Shaking Hand,7
30431,Rolling Hand Forward,6
52704,Zooming In With Two Fingers,22
147053,Zooming In With Two Fingers,22
64152,Pushing Two Fingers Away,4
87425,Drumming Fingers,0
114220,Sliding Two Fingers Left,9
45892,Zooming In With Full Hand,21
96812,Sliding Two Fingers Left,9
104398,Turning Hand Counterclockwise,20
46357,Turning Hand Counterclockwise,20
137630,Zooming In With Full Hand,21
75716,Thumb Down,17
3359,Swiping Down,13
69401,Swiping Left,14
132155,Drumming Fingers,0
105337,Swiping Right,15
17556,Zooming Out With Two Fingers,24
54971,Pushing Two Fingers Away,4
131925,Swiping Up,16
35985,Swiping Right,15
80227,Rolling Hand Forward,6
3200,Pulling Two Fingers In,2
34411,Shaking Hand,7
82528,Rolling Hand Backward,5
34529,Thumb Down,17
81574,Swiping Down,13
121942,Swiping Right,15
124367,Rolling Hand Backward,5
96286,Swiping Right,15
4320,Rolling Hand Backward,5
87160,Turning Hand Counterclockwise,20
6050,Rolling Hand Forward,6
78944,Zooming Out With Two Fingers,24
141772,Drumming Fingers,0
101585,Thumb Down,17
62718,Pushing Two Fingers Away,4
42393,Rolling Hand Backward,5
119190,Pushing Hand Away,3
77815,Turning Hand Counterclockwise,20
145542,Sliding Two Fingers Up,11
99824,Zooming Out With Full Hand,23
7028,Sliding Two Fingers Up,11
1649,Pushing Hand Away,3
146859,Thumb Down,17
109213,Swiping Left,14
96324,Sliding Two Fingers Left,9
100640,Thumb Up,18
104627,Zooming Out With Two Fingers,24
129732,Drumming Fingers,0
144128,Sliding Two Fingers Down,8
119947,Stop Sign,12
147332,Stop Sign,12
94151,Thumb Down,17
60398,Swiping Left,14
34238,Pushing Two Fingers Away,4
13309,Sliding Two Fingers Right,10
116955,Rolling Hand Forward,6
96941,Rolling Hand Forward,6
67558,Zooming In With Two Fingers,22
88554,Turning Hand Counterclockwise,20
15015,Pushing Hand Away,3
19630,Pushing Two Fingers Away,4
114132,Sliding Two Fingers Left,9
128876,Sliding Two Fingers Right,10
124420,Zooming In With Full Hand,21
34545,Turning Hand Clockwise,19
62795,Pulling Hand In,1
1024,Swiping Right,15
105540,Drumming Fingers,0
60217,Thumb Up,18
188,Zooming Out With Two Fingers,24
140593,Thumb Up,18
118896,Zooming In With Two Fingers,22
27353,Thumb Down,17
27655,Rolling Hand Forward,6
83321,Swiping Up,16
49368,Drumming Fingers,0
60749,Zooming Out With Full Hand,23
110820,Swiping Up,16
53479,Zooming In With Two Fingers,22
48559,Rolling Hand Backward,5
57239,Shaking Hand,7
118045,Swiping Right,15
110780,Thumb Up,18
74802,Turning Hand Counterclockwise,20
118559,Rolling Hand Backward,5
144941,Rolling Hand Backward,5
77712,Sliding Two Fingers Right,10
3202,Swiping Right,15
95501,Pulling Two Fingers In,2
144781,Thumb Down,17
122410,Rolling Hand Forward,6
15889,Swiping Up,16
48449,Swiping Left,14
59781,Sliding Two Fingers Up,11
113173,Turning Hand Counterclockwise,20
27468,Zooming In With Full Hand,21
90565,Swiping Up,16
123297,Zooming In With Full Hand,21
128885,Pulling Hand In,1
126004,Zooming In With Two Fingers,22
137681,Sliding Two Fingers Down,8
44131,Sliding Two Fingers Right,10
125362,Drumming Fingers,0
103525,Sliding Two Fingers Down,8
138948,Sliding Two Fingers Right,10
93943,Stop Sign,12
8449,Swiping Right,15
72616,Stop Sign,12
86364,Pushing Two Fingers Away,4
140653,Swiping Down,13
51784,Pulling Hand In,1
119508,Pushing Two Fingers Away,4
118638,Swiping Right,15
75575,Sliding Two Fingers Up,11
31392,Zooming Out With Full Hand,23
79745,Stop Sign,12
72260,Sliding Two Fingers Down,8
139919,Drumming Fingers,0
101438,Thumb Down,17
86165,Zooming Out With Two Fingers,24
106083,Stop Sign,12
113718,Swiping Down,13
125891,Turning Hand Counterclockwise,20
133627,Sliding Two Fingers Right,10
84520,Pushing Hand Away,3
21461,Stop Sign,12
39695,Pulling Two Fingers In,2
54468,Pulling Hand In,1
31109,Pulling Two Fingers In,2
61149,Sliding Two Fingers Left,9
101532,Zooming Out With Two Fingers,24
64979,Zooming Out With Full Hand,23
148056,Shaking Hand,7
115126,Rolling Hand Forward,6
42832,Turning Hand Counterclockwise,20
62866,Stop Sign,12
25476,Swiping Down,13
101406,Drumming Fingers,0
71371,Swiping Right,15
76864,Sliding Two Fingers Left,9
140111,Swiping Left,14
119379,Sliding Two Fingers Down,8
137856,Zooming Out With Two Fingers,24
110340,Zooming Out With Full Hand,23
8407,Shaking Hand,7
77354,Zooming In With Full Hand,21
94278,Sliding Two Fingers Left,9
85745,Swiping Right,15
136297,Thumb Down,17
120742,Stop Sign,12
88195,Zooming Out With Two Fingers,24
33706,Sliding Two Fingers Left,9
15746,Zooming In With Two Fingers,22
29882,Swiping Left,14
38865,Sliding Two Fingers Left,9
104772,Swiping Left,14
100819,Pushing Two Fingers Away,4
17655,Swiping Up,16
18426,Swiping Right,15
137647,Thumb Up,18
134004,Sliding Two Fingers Right,10
136424,Swiping Up,16
91046,Thumb Down,17
63579,Turning Hand Counterclockwise,20
92182,Turning Hand Counterclockwise,20
104318,Sliding Two Fingers Left,9
9899,Zooming In With Full Hand,21
144573,Shaking Hand,7
49049,Swiping Down,13
55142,Sliding Two Fingers Right,10
73426,Pushing Two Fingers Away,4
124011,Stop Sign,12
15717,Drumming Fingers,0
68325,Thumb Up,18
61743,Pushing Hand Away,3
97353,Swiping Up,16
65152,Pushing Hand Away,3
82897,Turning Hand Counterclockwise,20
102848,Rolling Hand Backward,5
7729,Rolling Hand Forward,6
1155,Zooming Out With Two Fingers,24
58601,Pushing Hand Away,3
48707,Thumb Up,18
29080,Pushing Two Fingers Away,4
16841,Shaking Hand,7
21884,Zooming In With Two Fingers,22
137046,Sliding Two Fingers Up,11
135607,Zooming Out With Two Fingers,24
136493,Pushing Two Fingers Away,4
138810,Sliding Two Fingers Left,9
54454,Swiping Down,13
11087,Thumb Up,18
102191,Zooming In With Two Fingers,22
135122,Rolling Hand Backward,5
26890,Swiping Right,15
39262,Pulling Two Fingers In,2
726,Swiping Up,16
119003,Pushing Two Fingers Away,4
84270,Stop Sign,12
23464,Zooming Out With Two Fingers,24
6172,Sliding Two Fingers Down,8
87334,Rolling Hand Backward,5
139957,Pulling Hand In,1
118381,Drumming Fingers,0
77643,Pulling Hand In,1
60016,Thumb Up,18
46836,Swiping Down,13
2634,Rolling Hand Forward,6
60633,Turning Hand Clockwise,19
138,Pushing Two Fingers Away,4
79496,Sliding Two Fingers Up,11
48472,Swiping Up,16
58070,Zooming Out With Full Hand,23
123891,Rolling Hand Forward,6
61348,Stop Sign,12
96295,Swiping Down,13
140919,Pulling Two Fingers In,2
114159,Zooming Out With Full Hand,23
16135,Stop Sign,12
80173,Zooming In With Two Fingers,22
25360,Sliding Two Fingers Down,8
116989,Thumb Down,17
115948,Zooming Out With Two Fingers,24
129559,Thumb Down,17
100149,Thumb Down,17
66601,Turning Hand Counterclockwise,20
31344,Sliding Two Fingers Up,11
146026,Thumb Up,18
86671,Zooming In With Full Hand,21
59264,Sliding Two Fingers Down,8
9536,Sliding Two Fingers Up,11
42918,Drumming Fingers,0
129542,Zooming In With Full Hand,21
17008,Swiping Up,16
125021,Pushing Hand Away,3
106946,Rolling Hand Forward,6
119976,Drumming Fingers,0
96133,Sliding Two Fingers Up,11
91926,Zooming In With Two Fingers,22
63101,Zooming In With Full Hand,21
52024,Zooming Out With Two Fingers,24
22470,Stop Sign,12
76343,Sliding Two Fingers Up,11
111218,Swiping Up,16
26476,Swiping Up,16
23085,Zooming In With Two Fingers,22
118690,Zooming Out With Two Fingers,24
20125,Turning Hand Clockwise,19
61828,Turning Hand Clockwise,19
6999,Stop Sign,12
36748,Rolling Hand Forward,6
125323,Sliding Two Fingers Right,10
17719,Pushing Hand Away,3
30662,Zooming Out With Two Fingers,24
23927,Swiping Left,14
98245,Thumb Down,17
88249,Thumb Up,18
48839,Rolling Hand Forward,6
77525,Turning Hand Clockwise,19
37940,Thumb Up,18
96767,Turning Hand Counterclockwise,20
58988,Rolling Hand Backward,5
3422,Swiping Down,13
142348,Turning Hand Counterclockwise,20
29846,Pushing Two Fingers Away,4
105917,Sliding Two Fingers Right,10
2132,Drumming Fingers,0
37469,Zooming In With Full Hand,21
29916,Sliding Two Fingers Right,10
103216,Drumming Fingers,0
116573,Rolling Hand Forward,6
98349,Sliding Two Fingers Left,9
144946,Drumming Fingers,0
33079,Zooming In With Full Hand,21
37337,Zooming In With Full Hand,21
83616,Turning Hand Counterclockwise,20
83110,Sliding Two Fingers Up,11
92908,Thumb Down,17
103468,Rolling Hand Backward,5
48881,Turning Hand Counterclockwise,20
107267,Sliding Two Fingers Left,9
51445,Sliding Two Fingers Down,8
65624,Sliding Two Fingers Right,10
92607,Zooming In With Two Fingers,22
96184,Turning Hand Clockwise,19
24559,Zooming In With Full Hand,21
85579,Sliding Two Fingers Up,11
142839,Pushing Hand Away,3
5658,Swiping Right,15
114201,Zooming In With Full Hand,21
121000,Rolling Hand Backward,5
27322,Sliding Two Fingers Left,9
30723,Thumb Down,17
56855,Zooming Out With Full Hand,23
36720,Thumb Up,18
128589,Rolling Hand Backward,5
62280,Zooming In With Two Fingers,22
77142,Stop Sign,12
92681,Sliding Two Fingers Left,9
99937,Stop Sign,12
30905,Sliding Two Fingers Up,11
16766,Thumb Down,17
107221,Pushing Two Fingers Away,4
23769,Zooming Out With Full Hand,23
126687,Drumming Fingers,0
16612,Pushing Hand Away,3
16777,Zooming Out With Full Hand,23
61964,Swiping Down,13
105147,Rolling Hand Forward,6
67469,Sliding Two Fingers Up,11
120226,Thumb Down,17
37993,Drumming Fingers,0
126083,Zooming In With Full Hand,21
47394,Drumming Fingers,0
99428,Swiping Up,16
49519,Swiping Up,16
112520,Rolling Hand Forward,6
25175,Swiping Left,14
129393,Swiping Down,13
134233,Zooming Out With Two Fingers,24
22611,Pulling Hand In,1
134651,Zooming Out With Full Hand,23
69996,Zooming Out With Two Fingers,24
113198,Pushing Two Fingers Away,4
144331,Sliding Two Fingers Down,8
90339,Swiping Left,14
126242,Drumming Fingers,0
131450,Stop Sign,12
59387,Rolling Hand Forward,6
45820,Zooming Out With Full Hand,23
126666,Shaking Hand,7
5227,Zooming In With Two Fingers,22
89260,Zooming Out With Two Fingers,24
145709,Zooming In With Two Fingers,22
135080,Thumb Down,17
61593,Rolling Hand Forward,6
70029,Zooming Out With Two Fingers,24
12239,Thumb Up,18
141351,Swiping Down,13
100922,Turning Hand Counterclockwise,20
73097,Pushing Two Fingers Away,4
22513,Swiping Up,16
120965,Zooming In With Full Hand,21
88621,Sliding Two Fingers Left,9
16165,Shaking Hand,7
97949,Sliding Two Fingers Down,8
48824,Stop Sign,12
82025,Pulling Hand In,1
26136,Zooming In With Two Fingers,22
39622,Thumb Up,18
29869,Rolling Hand Forward,6
79381,Swiping Right,15
133060,Rolling Hand Forward,6
81193,Swiping Down,13
48506,Sliding Two Fingers Up,11
72006,Zooming Out With Full Hand,23
144735,Swiping Left,14
9450,Pushing Two Fingers Away,4
65844,Sliding Two Fingers Down,8
17432,Pushing Hand Away,3
24077,Pushing Hand Away,3
41845,Stop Sign,12
31142,Rolling Hand Backward,5
125760,Pulling Two Fingers In,2
9382,Turning Hand Clockwise,19
147325,Pulling Two Fingers In,2
133294,Rolling Hand Forward,6
145905,Sliding Two Fingers Up,11
82326,Pushing Two Fingers Away,4
134819,Shaking Hand,7
115777,Drumming Fingers,0
69303,Swiping Down,13
32682,Drumming Fingers,0
60194,Rolling Hand Forward,6
100041,Shaking Hand,7
49441,Pulling Hand In,1
73320,Swiping Up,16
26952,Swiping Up,16
143931,Stop Sign,12
51729,Sliding Two Fingers Right,10
27338,Thumb Up,18
40180,Rolling Hand Backward,5
92040,Zooming In With Two Fingers,22
12518,Swiping Right,15
11385,Pushing Two Fingers Away,4
82765,Rolling Hand Backward,5
105331,Swiping Up,16
41828,Turning Hand Clockwise,19
128781,Sliding Two Fingers Down,8
124414,Turning Hand Counterclockwise,20
114987,Swiping Down,13
86467,Rolling Hand Forward,6
114877,Pushing Two Fingers Away,4
131306,Zooming Out With Full Hand,23
129680,Sliding Two Fingers Down,8
56912,Sliding Two Fingers Down,8
40447,Turning Hand Clockwise,19
7607,Turning Hand Counterclockwise,20
7952,Zooming In With Two Fingers,22
121854,Swiping Up,16
15038,Swiping Left,14
107264,Sliding Two Fingers Up,11
14611,Sliding Two Fingers Right,10
107412,Sliding Two Fingers Down,8
20924,Sliding Two Fingers Right,10
58040,Pulling Two Fingers In,2
17224,Thumb Down,17
130186,Swiping Left,14
124732,Turning Hand Clockwise,19
11990,Sliding Two Fingers Left,9
23164,Swiping Down,13
113162,Turning Hand Counterclockwise,20
92747,Swiping Right,15
63122,Zooming In With Two Fingers,22
32348,Zooming In With Two Fingers,22
122643,Turning Hand Clockwise,19
108449,Turning Hand Counterclockwise,20
53370,Sliding Two Fingers Right,10
110462,Pushing Hand Away,3
133448,Thumb Up,18
113102,Pulling Two Fingers In,2
56743,Thumb Up,18
92654,Thumb Down,17
94146,Swiping Down,13
119514,Sliding Two Fingers Up,11
109862,Pushing Two Fingers Away,4
104275,Pulling Hand In,1
47740,Thumb Up,18
20092,Sliding Two Fingers Down,8
140925,Stop Sign,12
97950,Sliding Two Fingers Down,8
132323,Pushing Hand Away,3
103901,Thumb Down,17
89842,Zooming Out With Full Hand,23
118001,Zooming Out With Two Fingers,24
78402,Pushing Hand Away,3
82794,Pulling Two Fingers In,2
47006,Pulling Two Fingers In,2
124318,Zooming Out With Full Hand,23
74962,Zooming Out With Full Hand,23
9510,Pushing Hand Away,3
85801,Rolling Hand Forward,6
84643,Pushing Hand Away,3
109348,Swiping Up,16
95935,Pushing Two Fingers Away,4
7587,Shaking Hand,7
7623,Thumb Up,18
17909,Sliding Two Fingers Right,10
73158,Sliding Two Fingers Up,11
222,Turning Hand Clockwise,19
132162,Zooming Out With Two Fingers,24
94541,Stop Sign,12
9268,Shaking Hand,7
10990,Sliding Two Fingers Down,8
134528,Sliding Two Fingers Right,10
82229,Turning Hand Counterclockwise,20
125414,Turning Hand Clockwise,19
89386,Zooming Out With Full Hand,23
74536,Shaking Hand,7
20594,Zooming Out With Two Fingers,24
143350,Rolling Hand Forward,6
126119,Rolling Hand Forward,6
98520,Zooming In With Full Hand,21
128058,Sliding Two Fingers Left,9
115666,Sliding Two Fingers Down,8
4437,Pulling Two Fingers In,2
37888,Thumb Down,17
48217,Swiping Down,13
53286,Stop Sign,12
42665,Turning Hand Counterclockwise,20
69305,Zooming Out With Full Hand,23
102889,Pulling Hand In,1
13998,Pushing Hand Away,3
111497,Zooming In With Two Fingers,22
127275,Zooming Out With Full Hand,23
6359,Pulling Two Fingers In,2
